probability,t_id
0.539940595627,8309
0.501921236515,9017
0.536027789116,10709
0.534267187119,3475
0.481083065271,10140
0.51622736454,266
0.525744497776,12749
0.519283473492,5826
0.521517395973,1191
0.447092175484,4810
0.498512655497,3794
0.527544260025,8142
0.537123918533,6986
0.472297608852,690
0.492896527052,1009
0.493945419788,5522
0.502913296223,7704
0.489414304495,1471
0.523879289627,6808
0.47852191329,2255
0.529494464397,4134
0.515177309513,4066
0.502822518349,4394
0.502719223499,10876
0.536416471004,13348
0.519766449928,3705
0.495615184307,12302
0.488359123468,10471
0.536891400814,6690
0.522614896297,5606
0.507754147053,7367
0.510164916515,9253
0.487160861492,11387
0.522018492222,2648
0.485543459654,4063
0.53020375967,7034
0.525301516056,8326
0.459790170193,3263
0.532645463943,4155
0.515279710293,12813
0.520933568478,12462
0.496027678251,9802
0.507468640804,2160
0.458960592747,6746
0.482014864683,12306
0.519104599953,8405
0.5295779109,1591
0.490931004286,3932
0.474648654461,2947
0.533843755722,7976
0.505161046982,12731
0.439423292875,9885
0.503853619099,348
0.490769535303,13145
0.528742432594,12077
0.507487118244,1116
0.489308446646,10301
0.470463335514,12985
0.473128169775,4477
0.467022687197,10741
0.535511732101,4387
0.520183444023,9320
0.509574115276,2980
0.502200365067,1156
0.506775021553,12358
0.538022696972,2184
0.503079652786,3406
0.511732757092,4545
0.499601334333,10857
0.516201674938,1930
0.517076849937,1789
0.526498556137,1006
0.47233492136,11675
0.523936152458,11955
0.452566832304,7719
0.524364948273,5354
0.495762199163,9687
0.514000833035,36
0.523523271084,892
0.517421364784,10342
0.521690309048,10259
0.51193267107,9538
0.497520655394,4975
0.51810002327,10375
0.500528693199,3902
0.424033552408,6905
0.477952301502,9889
0.516776204109,118
0.491651207209,8039
0.507478952408,5712
0.507529258728,8259
0.543887972832,10571
0.513959228992,7187
0.536618888378,1076
0.498735189438,13059
0.518479347229,11221
0.535175800323,8413
0.49998742342,3749
0.474952369928,7177
0.46866491437,9493
0.532632410526,11209
0.537792563438,12552
0.525952577591,6842
0.517421662807,6700
0.526064217091,6864
0.497264534235,7924
0.497781991959,8932
0.52643674612,8409
0.513929665089,3331
0.507857739925,2875
0.521092057228,8065
0.546005189419,12966
0.504075169563,9366
0.520203471184,7685
0.510588765144,80
0.500224411488,62
0.494385421276,4837
0.502921402454,6140
0.51745903492,2996
0.538175046444,7023
0.490269303322,8239
0.51260304451,5957
0.522404670715,9781
0.519829154015,6874
0.534130990505,4030
0.476772606373,2210
0.535067498684,7123
0.470722287893,10339
0.484858512878,1349
0.444320052862,6106
0.52007651329,10319
0.527914404869,1568
0.484771698713,4716
0.488336890936,6732
0.518057703972,10371
0.500100672245,12375
0.516194760799,9848
0.521756827831,13111
0.521601974964,3386
0.501521289349,13146
0.517425358295,8971
0.524418890476,1774
0.461159169674,5921
0.52811396122,4619
0.503217101097,5353
0.452615737915,1161
0.51007527113,3567
0.494348168373,12291
0.513489425182,4064
0.488028794527,2576
0.495429366827,2590
0.458057671785,9071
0.502908170223,7666
0.481151282787,11455
0.503891527653,7620
0.530025184155,6964
0.517696082592,8015
0.534709334373,140
0.501985192299,5489
0.525125801563,7251
0.51405107975,1170
0.486272424459,10026
0.495766729116,12198
0.52869707346,5401
0.517946660519,10225
0.495254814625,459
0.482645899057,9526
0.46405467391,9504
0.518848419189,13285
0.525183260441,12856
0.535700082779,7583
0.524634301662,6799
0.5119587183,10273
0.424100250006,8044
0.48424321413,638
0.477255582809,5454
0.516506016254,4425
0.50698184967,677
0.497380703688,12783
0.503782510757,1043
0.52318406105,2180
0.484579950571,523
0.512443959713,6841
0.5304235816,11975
0.51124972105,2477
0.520420491695,10417
0.495449095964,8339
